20220408,324.5,999 0.04,1127 0.72,168 0.43,85 0.37,57 0.35,82 0.70,46 0.56,38 0.58,94 2.27,61 2.86,58 5.50,29 4.65,11 2.61,6 1.79,43 76.50
20220401,331.5,977 0.04,1119 0.72,166 0.43,80 0.34,62 0.38,78 0.67,45 0.54,35 0.54,101 2.44,59 2.76,61 5.88,26 4.15,13 3.05,5 1.45,43 76.54
20220325,321.5,975 0.04,1152 0.74,176 0.45,79 0.34,62 0.38,80 0.69,49 0.59,35 0.54,101 2.47,58 2.74,60 5.68,29 4.64,12 2.83,5 1.43,44 76.37
20220318,,943 0.04,1137 0.73,169 0.43,84 0.36,58 0.35,76 0.65,49 0.58,33 0.50,100 2.46,59 2.79,62 5.88,28 4.55,13 3.18,4 1.20,44 76.22
20220311,,917 0.03,1131 0.73,174 0.45,84 0.36,62 0.38,75 0.65,44 0.52,36 0.55,100 2.43,60 2.85,60 5.65,33 5.34,11 2.71,5 1.48,43 75.79
20220304,,881 0.03,1117 0.71,160 0.41,84 0.36,61 0.37,73 0.63,46 0.54,42 0.65,101 2.45,62 2.92,56 5.25,33 5.36,13 3.20,5 1.49,43 75.56
20220225,,861 0.03,1082 0.69,161 0.41,80 0.35,64 0.39,73 0.63,50 0.59,38 0.58,104 2.53,60 2.79,60 5.62,31 5.05,13 3.15,7 2.08,42 75.05
20220218,,815 0.03,981 0.62,152 0.39,73 0.31,63 0.38,73 0.63,53 0.63,40 0.61,99 2.41,67 3.14,56 5.08,31 5.01,13 3.10,10 2.98,41 74.60
20220211,378.5,779 0.02,937 0.59,145 0.38,76 0.33,66 0.40,74 0.64,50 0.59,36 0.54,103 2.52,64 2.97,57 5.24,29 4.62,17 4.08,9 2.70,39 74.29
20220128,,773 0.02,890 0.57,142 0.37,76 0.33,60 0.36,73 0.63,50 0.60,38 0.58,106 2.59,66 3.05,56 5.22,29 4.68,20 4.86,7 2.11,38 73.97
20220122,,763 0.02,860 0.54,143 0.38,72 0.31,63 0.38,65 0.56,50 0.60,37 0.56,103 2.49,73 3.45,57 5.36,27 4.41,20 4.81,7 2.13,38 73.92
20220114,,760 0.02,806 0.51,143 0.38,71 0.30,61 0.37,66 0.56,49 0.59,38 0.58,103 2.49,69 3.24,58 5.38,30 4.92,20 4.81,6 1.83,38 73.95
20220107,401.5,776 0.02,808 0.51,134 0.35,72 0.31,63 0.38,66 0.56,55 0.66,37 0.56,104 2.50,70 3.28,59 5.49,28 4.56,20 4.77,7 2.14,38 73.83
20211230,412.5,783 0.02,823 0.52,134 0.35,74 0.32,64 0.39,65 0.56,53 0.63,38 0.58,104 2.49,72 3.43,57 5.36,29 4.71,18 4.28,7 2.13,38 74.15
20211224,418.5,778 0.02,805 0.51,138 0.36,72 0.31,66 0.40,64 0.55,54 0.65,40 0.61,98 2.36,73 3.39,60 5.60,28 4.52,20 4.69,7 2.19,37 73.77
20211217,,799 0.02,848 0.54,138 0.36,74 0.32,65 0.39,64 0.55,58 0.69,38 0.58,103 2.50,73 3.44,57 5.32,29 4.78,20 4.67,7 2.16,37 73.58
20211210,,833 0.03,919 0.58,145 0.38,80 0.35,64 0.39,66 0.57,60 0.72,35 0.54,103 2.47,75 3.56,56 5.24,30 4.97,18 4.21,6 1.86,38 74.08, -2,000
20211203,384.5,819 0.02,978 0.61,152 0.40,80 0.35,62 0.37,68 0.59,61 0.73,33 0.50,107 2.55,72 3.38,59 5.49,29 4.81,18 4.24,5 1.52,39 74.37
20211126,,808 0.02,916 0.57,153 0.40,78 0.34,61 0.37,71 0.61,65 0.78,37 0.57,103 2.50,68 3.19,59 5.53,29 4.79,16 3.73,8 2.41,38 74.10
20211119,,819 0.02,966 0.60,163 0.43,80 0.35,55 0.33,72 0.62,65 0.78,39 0.60,103 2.50,73 3.44,59 5.61,29 4.82,16 3.73,7 2.12,38 73.98
20211112,,799 0.02,972 0.61,169 0.45,76 0.33,50 0.30,76 0.66,65 0.78,39 0.60,111 2.69,71 3.28,60 5.63,28 4.67,18 4.15,8 2.41,37 73.34
20211105,,791 0.02,971 0.60,168 0.44,77 0.33,52 0.31,76 0.66,60 0.72,39 0.60,115 2.79,74 3.42,61 5.75,28 4.64,17 3.98,7 2.08,38 73.57
20211029,,776 0.02,960 0.59,180 0.48,70 0.30,58 0.35,69 0.59,63 0.76,37 0.57,113 2.73,74 3.47,59 5.57,31 5.16,16 3.76,7 2.03,38 73.54
20211022,,768 0.02,1033 0.64,177 0.47,73 0.31,56 0.34,70 0.60,61 0.74,37 0.57,114 2.74,71 3.31,61 5.66,31 5.16,19 4.47,5 1.42,38 73.46
20211015,,741 0.02,898 0.56,160 0.42,73 0.32,56 0.34,70 0.60,62 0.75,39 0.60,114 2.77,72 3.36,60 5.60,35 5.94,15 3.57,6 1.79,39 73.30
20211008,,732 0.02,870 0.55,160 0.42,79 0.34,51 0.31,67 0.57,63 0.76,41 0.63,112 2.71,72 3.38,61 5.68,34 5.67,16 3.83,5 1.45,39 73.61
20211001,,706 0.02,832 0.53,152 0.39,78 0.34,55 0.34,66 0.57,61 0.73,40 0.61,116 2.76,72 3.35,62 5.87,34 5.68,15 3.53,7 2.10,38 73.11
20210924,399.5,680 0.02,813 0.51,142 0.36,75 0.32,62 0.38,68 0.58,62 0.75,39 0.60,117 2.79,75 3.53,63 5.97,36 6.10,14 3.28,6 1.79,38 72.95
20210917,,669 0.02,750 0.47,133 0.34,76 0.33,61 0.37,66 0.57,63 0.76,39 0.60,117 2.79,76 3.57,64 6.04,36 6.08,14 3.29,6 1.81,38 72.89
20210911,,662 0.02,776 0.49,136 0.35,75 0.33,62 0.38,67 0.57,60 0.73,39 0.60,115 2.75,77 3.62,63 6.04,35 5.85,16 3.78,4 1.22,39 73.22
20210903,413.5,641 0.01,772 0.49,132 0.34,75 0.33,62 0.38,65 0.55,61 0.73,37 0.57,114 2.73,77 3.60,63 6.01,35 5.85,16 3.73,4 1.21,39 73.40
20210827,414.5,631 0.01,740 0.47,132 0.34,74 0.32,63 0.38,69 0.59,56 0.67,40 0.61,114 2.74,70 3.28,65 6.13,35 5.91,14 3.28,5 1.53,39 73.66
20210820,,613 0.01,707 0.44,127 0.33,73 0.32,61 0.37,73 0.63,51 0.61,38 0.58,114 2.75,70 3.28,61 5.84,37 6.24,13 3.09,5 1.54,39 73.91
20210813,440.5,598 0.01,685 0.42,128 0.33,70 0.30,67 0.40,69 0.59,52 0.62,39 0.60,113 2.74,70 3.30,65 6.28,34 5.73,10 2.39,7 2.12,39 74.09
20210806,479.5,618 0.01,613 0.38,126 0.33,71 0.31,62 0.37,68 0.58,54 0.64,37 0.57,109 2.66,72 3.38,64 6.20,33 5.54,11 2.64,7 2.11,39 74.19
20210730,,641 0.01,635 0.40,133 0.34,67 0.29,53 0.32,68 0.58,56 0.66,34 0.53,111 2.74,70 3.37,65 6.22,32 5.44,11 2.62,7 2.09,39 74.31
20210723,,652 0.02,661 0.41,136 0.35,71 0.31,54 0.33,69 0.59,55 0.66,34 0.53,114 2.81,71 3.46,63 6.13,30 5.08,12 2.80,7 2.10,40 74.35
20210716,,660 0.02,732 0.46,142 0.36,72 0.31,55 0.33,71 0.61,55 0.65,36 0.56,112 2.74,73 3.52,60 5.84,31 5.26,12 2.75,7 2.10,40 74.40
20210709,414.5,667 0.02,745 0.47,143 0.37,71 0.31,59 0.36,69 0.59,54 0.64,36 0.56,111 2.71,78 3.74,59 5.78,30 5.07,11 2.55,8 2.41,39 74.36
20210702,416.5,691 0.02,757 0.47,149 0.38,71 0.31,61 0.37,72 0.62,53 0.62,32 0.49,112 2.72,79 3.79,59 5.81,30 5.05,12 2.84,7 2.10,39 74.33
20210625,,683 0.02,832 0.52,151 0.39,76 0.33,59 0.36,72 0.62,53 0.63,34 0.53,111 2.69,79 3.74,61 6.12,28 4.74,12 2.81,7 2.10,39 74.32
20210618,,669 0.02,882 0.55,159 0.41,77 0.34,59 0.36,74 0.63,51 0.60,35 0.54,111 2.70,75 3.51,64 6.21,31 5.17,12 2.83,8 2.39,38 73.68
