20220318,5253 0.11,4842 1.65,610 0.82,208 0.45,114 0.35,120 0.53,56 0.34,36 0.28,86 1.05,72 1.91,71 3.47,28 2.33,17 1.98,17 2.66,92 82.01
20220311,5261 0.11,4992 1.69,623 0.83,214 0.46,119 0.37,115 0.50,59 0.35,34 0.26,87 1.06,72 1.89,69 3.32,32 2.68,16 1.89,15 2.36,92 82.14
20220304,5233 0.11,4999 1.69,626 0.84,210 0.45,120 0.37,119 0.52,58 0.35,35 0.27,86 1.05,69 1.81,71 3.46,32 2.68,16 1.86,15 2.36,92 82.11
20220225,5205 0.11,5023 1.71,629 0.84,219 0.47,119 0.37,120 0.52,60 0.36,38 0.30,85 1.03,72 1.88,70 3.35,31 2.61,15 1.76,15 2.36,92 82.26
20220218,5211 0.11,5039 1.71,635 0.85,211 0.45,117 0.36,119 0.52,57 0.34,37 0.29,88 1.07,73 1.94,69 3.31,31 2.64,15 1.76,15 2.36,92 82.20
20220211,5233 0.11,5116 1.74,639 0.86,210 0.45,122 0.38,119 0.52,60 0.36,37 0.29,89 1.08,73 1.94,70 3.40,28 2.38,15 1.77,17 2.66,91 81.98
20220128,5221 0.11,5103 1.74,633 0.85,213 0.46,124 0.38,121 0.53,62 0.37,35 0.28,89 1.08,74 1.97,68 3.28,32 2.73,14 1.65,18 2.84,90 81.65
20220122,5207 0.11,5131 1.75,643 0.86,211 0.45,122 0.38,122 0.53,62 0.37,35 0.28,89 1.07,76 2.03,66 3.21,33 2.85,15 1.77,18 2.84,89 81.42
20220114,5216 0.11,5150 1.76,641 0.86,216 0.46,120 0.37,123 0.53,60 0.36,38 0.30,89 1.08,76 2.03,65 3.15,32 2.75,15 1.78,19 2.98,89 81.40
20220107,5244 0.11,5157 1.76,647 0.87,215 0.46,115 0.35,126 0.55,57 0.34,39 0.31,90 1.09,74 1.98,67 3.23,31 2.64,15 1.78,19 3.00,89 81.46
20211230,5249 0.11,5199 1.77,654 0.88,209 0.44,112 0.35,124 0.54,61 0.37,37 0.29,91 1.10,74 1.99,65 3.13,31 2.63,15 1.78,18 2.83,89 81.72
20211224,5276 0.11,5282 1.79,657 0.89,204 0.43,114 0.35,123 0.53,57 0.34,38 0.30,93 1.12,74 1.98,66 3.20,31 2.63,15 1.78,19 3.00,88 81.47, -2,000
20211217
20211210,5289 0.11,5570 1.90,693 0.93,219 0.47,115 0.36,130 0.57,60 0.36,43 0.34,86 1.03,75 1.97,63 3.08,31 2.65,18 2.14,17 2.66,87 81.36
20211203,5290 0.11,5596 1.91,695 0.93,222 0.48,117 0.36,128 0.56,60 0.36,43 0.34,86 1.02,75 1.97,64 3.09,30 2.55,19 2.25,17 2.66,86 81.33
