20220408,,588 0.05,1628 2.47,224 1.45,75 0.78,57 0.84,36 0.77,32 0.92,16 0.60,39 2.43,36 4.03,21 5.23,6 2.49,7 4.19,2 1.55,15 72.13
20220401,130.5,583 0.05,1608 2.44,227 1.46,70 0.73,59 0.87,35 0.74,32 0.92,16 0.60,37 2.27,39 4.27,21 5.25,6 2.49,7 4.19,2 1.55,15 72.10
20220325,,543 0.04,1585 2.40,226 1.45,67 0.70,60 0.88,36 0.76,34 0.97,14 0.53,39 2.43,37 4.16,21 5.29,6 2.50,7 4.19,2 1.55,15 72.08
20220318,,516 0.04,1476 2.25,211 1.35,65 0.68,59 0.87,34 0.72,34 0.96,11 0.42,39 2.48,32 3.67,20 4.85,8 3.36,6 3.65,2 1.55,16 73.08
20220311,134.5,512 0.04,1499 2.27,215 1.38,64 0.67,56 0.82,36 0.74,33 0.93,12 0.46,39 2.46,35 4.05,18 4.50,8 3.31,6 3.65,2 1.55,16 73.08
20220304,,513 0.04,1499 2.28,210 1.35,64 0.67,60 0.88,33 0.68,35 0.99,13 0.49,39 2.44,35 4.04,18 4.50,8 3.32,6 3.65,2 1.55,16 73.05
20220225,,510 0.04,1483 2.26,205 1.31,66 0.68,63 0.93,33 0.68,34 0.97,12 0.46,39 2.44,35 4.09,18 4.50,8 3.32,6 3.65,2 1.55,16 73.03
20220218,136.5,501 0.04,1456 2.21,209 1.33,63 0.65,58 0.84,35 0.73,34 0.96,10 0.38,43 2.67,34 3.90,18 4.50,7 2.97,7 4.17,2 1.55,16 73.02
20220211,,501 0.04,1442 2.19,201 1.28,63 0.65,56 0.81,33 0.68,34 0.97,13 0.49,43 2.71,32 3.64,19 4.80,6 2.49,8 4.67,2 1.55,16 72.96
20220128,,502 0.04,1431 2.18,204 1.30,58 0.60,55 0.80,34 0.69,36 1.03,11 0.42,45 2.82,33 3.79,18 4.61,6 2.49,8 4.68,2 1.55,16 72.91
20220122,,504 0.04,1430 2.19,199 1.27,60 0.62,56 0.81,34 0.70,36 1.03,11 0.42,47 2.97,31 3.62,19 4.73,7 2.94,7 4.16,2 1.55,16 72.87
20220114,140.5,498 0.04,1409 2.15,193 1.23,60 0.63,57 0.82,32 0.66,36 1.03,10 0.38,48 3.06,32 3.79,19 4.74,7 2.86,7 4.16,2 1.55,16 72.84
20220107,,504 0.04,1410 2.14,197 1.26,61 0.64,56 0.81,35 0.72,36 1.03,9 0.33,47 2.93,34 4.02,18 4.56,7 2.88,7 4.16,2 1.55,16 72.84
20211230,,491 0.04,1425 2.15,202 1.29,60 0.62,55 0.80,35 0.73,34 0.97,10 0.37,46 2.87,34 4.09,18 4.56,7 2.93,7 4.16,2 1.55,16 72.79
20211224,,489 0.04,1430 2.16,200 1.28,59 0.61,57 0.83,35 0.73,33 0.94,9 0.34,47 2.91,33 3.95,19 4.73,7 2.93,7 4.16,2 1.55,16 72.78
20211217,138.5,489 0.04,1428 2.16,199 1.26,62 0.64,54 0.78,33 0.69,34 0.97,9 0.33,48 2.98,33 3.95,19 4.83,7 2.80,7 4.16,2 1.55,16 72.78
20211210,,487 0.04,1438 2.16,207 1.32,62 0.64,52 0.75,34 0.70,35 1.00,7 0.26,49 3.03,33 3.92,19 4.85,8 3.26,6 3.65,2 1.55,16 72.77
20211203,,483 0.04,1449 2.17,205 1.31,63 0.66,53 0.77,33 0.68,35 1.00,7 0.26,47 2.89,34 4.01,18 4.57,8 3.28,6 3.65,1 0.78,17 73.86
20211126,138.5,481 0.04,1471 2.21,203 1.28,61 0.64,51 0.74,36 0.74,37 1.05,7 0.26,46 2.83,33 3.85,19 4.74,8 3.24,6 3.65,1 0.78,17 73.86
20211119,136.5,475 0.04,1464 2.21,196 1.24,61 0.63,51 0.74,36 0.75,35 1.00,7 0.26,48 2.94,33 3.83,19 4.74,8 3.25,6 3.65,1 0.78,17 73.86
20211112,,477 0.04,1453 2.17,201 1.28,58 0.60,49 0.71,35 0.72,36 1.03,8 0.31,45 2.76,34 3.96,19 4.74,8 3.24,6 3.72,1 0.78,17 73.86
20211105,137.5,479 0.04,1428 2.16,197 1.25,59 0.62,50 0.73,35 0.72,35 1.00,8 0.30,46 2.81,34 4.00,19 4.73,8 3.21,6 3.72,1 0.78,17 73.86
20211029,,476 0.04,1427 2.16,193 1.22,60 0.64,48 0.70,36 0.75,35 1.00,8 0.30,46 2.81,33 3.83,20 4.93,8 3.18,6 3.72,1 0.78,17 73.86
20211022,,476 0.04,1405 2.15,188 1.18,60 0.64,47 0.69,38 0.79,33 0.94,10 0.38,43 2.66,35 4.09,19 4.84,8 3.17,6 3.72,2 1.52,17 73.12
20211015,136.5,468 0.03,1369 2.10,176 1.11,62 0.66,44 0.64,37 0.77,34 0.97,11 0.42,43 2.68,34 4.00,21 5.43,7 2.78,6 3.72,2 1.52,17 73.12
20211008,138.5,471 0.03,1343 2.06,178 1.12,64 0.68,43 0.63,36 0.75,33 0.94,10 0.38,46 2.92,32 3.84,20 5.10,8 3.11,6 3.72,2 1.52,17 73.12
20211001,136.5,470 0.03,1334 2.04,179 1.12,63 0.66,46 0.68,33 0.69,33 0.94,10 0.38,45 2.88,32 3.83,21 5.30,8 3.02,6 3.72,2 1.52,17 73.12
20210924,,471 0.03,1319 2.02,180 1.13,63 0.66,44 0.64,33 0.69,33 0.94,10 0.38,46 2.96,30 3.53,22 5.56,8 3.03,6 3.72,2 1.52,17 73.12
20210917,139.5,472 0.03,1313 2.01,180 1.12,63 0.66,43 0.63,32 0.66,34 0.97,10 0.38,45 2.88,31 3.62,22 5.56,8 3.05,6 3.72,2 1.52,17 73.12
20210911,,463 0.03,1306 2.01,180 1.13,62 0.65,44 0.64,32 0.66,33 0.95,9 0.34,46 2.92,31 3.61,22 5.55,8 3.07,6 3.72,2 1.52,17 73.12
20210903,,466 0.03,1290 1.99,182 1.13,64 0.67,46 0.67,32 0.66,33 0.95,10 0.38,44 2.81,33 3.87,21 5.38,8 3.11,6 3.72,2 1.52,17 73.04
20210827,140.5,459 0.03,1288 1.98,180 1.13,62 0.65,48 0.70,31 0.64,34 0.97,10 0.38,45 2.90,32 3.79,21 5.37,8 3.12,6 3.72,2 1.52,17 73.03
20210820,,454 0.03,1276 1.96,177 1.11,63 0.66,48 0.70,31 0.64,35 1.00,10 0.37,45 2.90,32 3.81,21 5.36,8 3.16,6 3.72,2 1.52,17 72.99
20210813,,451 0.03,1261 1.95,177 1.11,58 0.61,49 0.71,33 0.68,35 1.00,10 0.37,46 2.98,31 3.74,21 5.36,8 3.20,6 3.72,2 1.52,17 72.95
20210806,146.5,443 0.03,1267 1.95,183 1.15,55 0.58,49 0.72,31 0.64,36 1.03,10 0.37,45 2.91,31 3.75,21 5.36,8 3.26,6 3.72,2 1.52,17 72.95
20210730,,441 0.03,1202 1.86,179 1.12,56 0.58,50 0.73,31 0.63,36 1.03,11 0.41,47 3.01,31 3.72,21 5.37,8 3.25,6 3.72,2 1.52,17 72.95
20210723,150.5,436 0.03,1177 1.82,173 1.09,58 0.60,48 0.70,32 0.66,37 1.05,10 0.38,46 2.94,34 4.11,21 5.37,8 3.19,6 3.72,2 1.52,17 72.74
20210716,,437 0.03,1158 1.80,168 1.05,56 0.59,47 0.68,32 0.66,36 1.03,10 0.38,46 2.96,33 4.00,22 5.45,8 3.19,6 3.72,2 1.52,17 72.87
20210709,,439 0.03,1150 1.78,165 1.03,56 0.58,47 0.68,33 0.68,36 1.03,10 0.38,45 2.88,34 4.09,22 5.49,8 3.18,6 3.72,2 1.52,17 72.87
20210702,,436 0.03,1147 1.76,163 1.02,56 0.59,49 0.71,34 0.71,36 1.03,10 0.38,45 2.85,34 4.08,21 5.15,9 3.51,6 3.72,2 1.52,17 72.87
20210625,,427 0.03,1148 1.77,162 1.01,58 0.61,49 0.71,35 0.73,35 1.00,10 0.38,45 2.84,34 4.09,21 5.14,9 3.51,6 3.72,2 1.52,17 72.87
20210618,,427 0.03,1157 1.79,164 1.03,57 0.60,47 0.69,37 0.77,34 0.98,10 0.38,45 2.85,34 4.10,21 5.14,9 3.49,6 3.72,2 1.52,17 72.85
20210611,,427 0.03,1159 1.79,167 1.05,58 0.60,45 0.65,37 0.76,35 1.01,10 0.38,45 2.85,34 4.10,21 5.13,9 3.49,6 3.72,2 1.52,17 72.83
20210604,,423 0.03,1153 1.79,165 1.03,56 0.58,48 0.70,36 0.74,36 1.03,11 0.42,43 2.73,35 4.18,21 5.11,9 3.51,6 3.72,2 1.52,17 72.83
