20210813,41.400,18 0.00,79 0.28,26 0.34,6 0.13,10 0.30,12 0.49,2 0.09,3 0.23,11 1.29,3 0.60,0 0.00,0 0.00,0 0.00,1 1.46,9 94.75
20210806,42.5,18 0.00,78 0.27,27 0.35,6 0.13,10 0.30,12 0.49,2 0.09,3 0.23,11 1.29,3 0.60,0 0.00,0 0.00,0 0.00,1 1.46,9 94.75
20210730,41.049,18 0.00,79 0.28,27 0.35,6 0.13,10 0.30,12 0.48,2 0.09,3 0.23,11 1.28,3 0.60,0 0.00,0 0.00,0 0.00,1 1.46,9 94.75
20210723,41.299,18 0.00,78 0.27,27 0.35,7 0.15,11 0.33,11 0.45,2 0.09,3 0.23,11 1.27,3 0.60,0 0.00,0 0.00,0 0.00,1 1.46,9 94.75
20210716,,17 0.00,75 0.26,28 0.37,7 0.15,11 0.33,10 0.41,3 0.15,3 0.23,11 1.25,3 0.60,0 0.00,0 0.00,0 0.00,1 1.46,9 94.75
20210709,42.599,16 0.00,78 0.26,28 0.37,7 0.15,11 0.32,9 0.36,4 0.20,3 0.23,11 1.24,3 0.60,0 0.00,0 0.00,0 0.00,1 1.46,9 94.75
20210702,43.25,15 0.00,75 0.26,29 0.38,7 0.15,11 0.33,9 0.36,4 0.20,3 0.23,11 1.23,3 0.60,0 0.00,0 0.00,0 0.00,1 1.46,9 94.75
20210625,42.25,15 0.00,75 0.26,27 0.35,9 0.19,11 0.33,9 0.36,4 0.20,3 0.23,11 1.22,3 0.60,0 0.00,0 0.00,0 0.00,1 1.46,9 94.75
20210618,,16 0.00,77 0.27,27 0.35,8 0.17,11 0.33,10 0.40,4 0.20,4 0.30,10 1.14,3 0.60,0 0.00,0 0.00,0 0.00,1 1.46,9 94.74
20210611,41.099,16 0.00,77 0.27,27 0.35,8 0.17,11 0.33,10 0.40,4 0.20,3 0.23,11 1.22,3 0.60,0 0.00,0 0.00,0 0.00,1 1.46,9 94.72
20210604,,16 0.00,77 0.27,28 0.36,7 0.15,13 0.38,9 0.36,5 0.26,3 0.23,10 1.14,3 0.60,0 0.00,0 0.00,0 0.00,1 1.47,9 94.71
20210528,,15 0.00,77 0.27,28 0.36,7 0.15,13 0.38,9 0.36,5 0.27,3 0.23,10 1.14,3 0.60,0 0.00,0 0.00,0 0.00,1 1.47,9 94.71
20210521,,15 0.00,76 0.26,28 0.36,7 0.15,13 0.38,9 0.36,4 0.21,4 0.29,10 1.14,3 0.60,0 0.00,0 0.00,0 0.00,1 1.48,9 94.70
20210514,,16 0.00,75 0.26,29 0.38,9 0.20,11 0.33,10 0.41,3 0.15,4 0.31,10 1.14,3 0.60,0 0.00,0 0.00,0 0.00,1 1.48,9 94.69
20210507,,16 0.00,77 0.26,28 0.37,7 0.15,14 0.41,10 0.40,3 0.15,4 0.31,10 1.12,3 0.61,0 0.00,0 0.00,0 0.00,1 1.49,9 94.68
20210429,44.549,17 0.00,80 0.27,29 0.38,7 0.15,13 0.39,12 0.49,3 0.15,4 0.30,9 1.01,3 0.61,0 0.00,0 0.00,0 0.00,1 1.52,9 94.68
20210423,44.299,16 0.00,79 0.27,30 0.39,10 0.21,12 0.36,10 0.40,4 0.20,3 0.23,9 1.01,3 0.61,0 0.00,0 0.00,0 0.00,1 1.57,9 94.68
20210416,42.150,16 0.00,81 0.28,30 0.40,8 0.17,12 0.36,9 0.36,4 0.21,4 0.31,9 1.01,3 0.61,0 0.00,0 0.00,0 0.00,1 1.57,9 94.67
20210409,44.700,16 0.00,78 0.29,22 0.30,11 0.24,10 0.30,10 0.41,4 0.20,4 0.31,9 1.01,3 0.61,0 0.00,0 0.00,0 0.00,1 1.57,9 94.71
20210401,32.450,16 0.00,68 0.26,21 0.29,11 0.24,10 0.30,9 0.36,4 0.21,5 0.39,9 1.01,3 0.61,0 0.00,0 0.00,0 0.00,1 1.57,9 94.71
