20220408,,189 0.01,766 2.28,107 1.28,59 1.13,29 0.82,37 1.43,17 0.93,13 0.89,34 3.75,18 3.74,13 5.45,5 3.29,3 2.96,1 1.23,5 70.74
20220401,,188 0.01,763 2.27,105 1.26,60 1.15,30 0.84,37 1.43,18 0.99,13 0.90,33 3.64,18 3.76,13 5.45,5 3.32,3 2.94,1 1.23,5 70.74
20220325,,188 0.01,767 2.31,113 1.36,60 1.15,28 0.78,37 1.43,18 0.98,13 0.90,34 3.79,18 3.83,12 5.09,6 4.32,2 2.01,1 1.23,5 70.74
20220318,,185 0.01,769 2.31,116 1.40,60 1.14,26 0.73,38 1.46,18 0.98,13 0.90,34 3.74,18 3.80,12 5.11,6 4.39,2 1.99,1 1.23,5 70.74
20220311,,185 0.01,772 2.32,123 1.48,59 1.13,25 0.71,38 1.46,16 0.87,14 0.96,34 3.76,18 3.71,12 5.18,5 3.48,3 2.90,1 1.23,5 70.74
20220304,152.5,186 0.01,761 2.27,116 1.40,60 1.15,28 0.79,39 1.50,18 0.97,14 0.97,32 3.46,20 4.12,11 4.91,5 3.43,3 2.97,1 1.23,5 70.74
20220225,,184 0.01,765 2.29,112 1.35,61 1.16,30 0.84,38 1.46,18 0.98,15 1.05,33 3.60,19 3.93,11 4.86,5 3.42,3 3.02,1 1.23,5 70.74
20220218,155.5,182 0.01,771 2.28,120 1.45,58 1.11,31 0.86,41 1.56,17 0.92,15 1.04,33 3.63,20 4.10,11 4.80,5 3.41,4 4.00,0 0.00,5 70.74
20220211,154.5,180 0.01,768 2.27,119 1.44,59 1.12,32 0.90,42 1.61,21 1.16,13 0.91,34 3.75,19 3.84,11 4.78,6 4.26,3 3.08,0 0.00,5 70.80
20220128,,181 0.01,783 2.34,115 1.40,59 1.13,38 1.06,40 1.55,21 1.15,11 0.77,35 3.85,19 3.77,11 4.73,6 4.26,3 3.08,0 0.00,5 70.83
20220122,,182 0.01,795 2.38,116 1.40,59 1.14,38 1.05,40 1.55,22 1.20,11 0.77,34 3.71,20 3.91,11 4.73,7 5.13,2 2.10,0 0.00,5 70.86
20220114,,181 0.01,798 2.38,116 1.40,57 1.10,37 1.02,43 1.66,21 1.15,11 0.77,34 3.72,20 3.90,11 4.72,7 5.01,2 2.10,0 0.00,5 70.98
20220107,152.5,182 0.01,799 2.38,119 1.43,58 1.12,36 1.00,47 1.86,22 1.20,11 0.77,34 3.71,21 4.12,10 4.35,7 4.87,2 2.10,0 0.00,5 71.03
20211230,151.5,183 0.01,799 2.37,118 1.42,57 1.09,33 0.91,49 1.94,22 1.19,11 0.76,35 3.87,21 4.16,11 4.90,6 4.17,2 2.10,0 0.00,5 71.05
20211224,,178 0.01,781 2.36,124 1.51,52 1.00,31 0.85,49 1.91,24 1.29,10 0.70,37 4.01,21 4.05,10 4.27,7 4.81,2 2.10,0 0.00,5 71.08
20211217,,178 0.01,784 2.37,120 1.46,51 0.98,32 0.87,48 1.87,23 1.23,14 0.98,37 4.17,19 3.78,10 4.20,7 4.79,2 2.10,0 0.00,5 71.12
20211210,,177 0.01,767 2.32,122 1.47,53 1.02,31 0.85,48 1.87,24 1.27,11 0.77,38 4.24,20 3.94,10 4.10,7 4.79,2 2.10,0 0.00,5 71.19
20211203,141.5,182 0.01,778 2.35,125 1.50,54 1.03,28 0.76,46 1.79,25 1.33,12 0.83,35 3.92,23 4.63,9 3.70,7 4.75,2 2.10,0 0.00,5 71.23
20211126,,184 0.01,820 2.48,127 1.52,54 1.05,29 0.80,44 1.72,26 1.39,11 0.77,35 3.85,22 4.29,10 3.98,7 4.72,2 2.10,0 0.00,5 71.26
20211119,,186 0.02,813 2.43,128 1.54,53 1.03,32 0.88,41 1.61,26 1.40,13 0.92,35 3.78,23 4.65,9 3.61,7 4.67,2 2.10,0 0.00,5 71.30
20211112,148.5,185 0.02,814 2.41,129 1.54,56 1.07,29 0.80,41 1.59,27 1.44,12 0.84,36 3.88,23 4.66,9 3.57,7 4.67,2 2.10,0 0.00,5 71.34
20211105,156.5,185 0.01,808 2.38,131 1.58,55 1.06,31 0.86,41 1.59,22 1.18,13 0.91,37 4.06,23 4.65,10 4.15,6 4.04,2 2.10,0 0.00,5 71.37
20211029,155.5,187 0.01,818 2.43,132 1.60,56 1.09,29 0.79,46 1.81,21 1.13,13 0.90,36 4.00,26 5.31,8 3.34,6 4.04,2 2.10,0 0.00,5 71.37
20211022,,190 0.01,835 2.53,133 1.63,57 1.10,33 0.89,44 1.74,25 1.37,11 0.76,37 4.16,23 4.54,9 3.67,6 4.06,2 2.10,0 0.00,5 71.37
20211015,,183 0.01,857 2.59,140 1.72,57 1.10,27 0.73,48 1.87,25 1.37,12 0.84,39 4.30,20 3.90,10 3.98,6 4.06,2 2.10,0 0.00,5 71.37
20211008,,183 0.01,858 2.57,135 1.65,59 1.13,26 0.70,50 1.94,24 1.31,14 0.97,38 4.18,20 3.92,10 4.01,7 4.84,3 3.10,0 0.00,4 69.60
20211001,131.5,182 0.01,837 2.50,140 1.71,58 1.12,27 0.74,48 1.87,25 1.35,12 0.86,37 4.08,20 3.90,12 4.90,6 4.20,3 3.10,0 0.00,4 69.60
20210924,,181 0.01,830 2.50,134 1.64,58 1.12,27 0.74,47 1.85,26 1.39,10 0.70,37 4.07,21 4.10,12 4.83,6 4.22,3 3.17,0 0.00,4 69.60
20210917,138.5,184 0.01,829 2.48,136 1.66,57 1.09,30 0.83,45 1.78,24 1.30,10 0.70,39 4.30,20 3.92,12 4.86,6 4.23,3 3.16,0 0.00,4 69.60
