20220401,,1737 0.40,4466 10.79,313 3.37,81 1.44,36 0.90,42 1.48,19 0.95,15 0.96,30 3.01,6 1.34,8 3.36,5 3.38,3 3.01,1 1.19,11 64.37
20220325,,1731 0.39,4433 10.71,311 3.36,82 1.45,37 0.93,41 1.44,16 0.80,16 1.02,31 3.11,4 0.80,10 3.98,5 3.36,3 3.01,1 1.19,11 64.37
20220318,117.5,1711 0.38,4424 10.67,310 3.34,81 1.43,39 0.98,41 1.44,16 0.79,17 1.08,29 2.95,5 0.94,10 3.99,5 3.36,3 3.01,1 1.19,11 64.37
20220311,120.5,1687 0.38,4347 10.55,309 3.32,84 1.48,37 0.93,44 1.53,16 0.82,16 1.01,30 2.96,5 0.90,12 4.70,4 2.78,3 3.01,1 1.19,11 64.37
20220304,,1675 0.37,4291 10.39,310 3.34,81 1.42,38 0.97,44 1.51,18 0.90,16 1.01,30 3.00,5 0.92,13 5.25,4 2.79,4 4.11,1 1.19,10 62.75
20220225,121.5,1671 0.37,4244 10.28,310 3.34,81 1.42,37 0.95,45 1.55,18 0.90,18 1.14,29 2.92,6 1.16,12 5.05,4 2.80,4 4.12,1 1.19,10 62.75
20220218,125.5,1668 0.37,4182 10.16,310 3.36,80 1.40,38 0.97,46 1.58,19 0.94,15 0.95,30 3.05,6 1.16,9 3.46,7 4.61,5 5.17,0 0.00,10 62.75
20220211,,1649 0.37,4181 10.11,309 3.33,82 1.43,38 0.98,47 1.61,19 0.96,15 0.95,30 3.07,6 1.04,9 3.47,7 4.71,5 5.17,0 0.00,10 62.75
20220128,,1647 0.36,4184 10.15,310 3.36,82 1.45,41 1.04,46 1.59,16 0.81,17 1.07,30 3.05,5 0.86,9 3.47,7 4.79,5 5.18,0 0.00,10 62.75
20220122,,1636 0.37,4168 10.11,308 3.34,84 1.49,42 1.07,46 1.59,16 0.81,18 1.13,29 2.96,5 0.86,9 3.47,7 4.80,5 5.18,0 0.00,10 62.75
20220114,120.5,1632 0.37,4176 10.10,312 3.39,81 1.43,39 0.98,50 1.71,18 0.92,15 0.95,29 2.91,6 0.99,9 3.45,7 4.80,5 5.18,0 0.00,10 62.75
