20220401,95.599,23757 0.20,22309 5.46,2555 2.55,747 1.22,454 1.07,413 1.35,217 1.00,114 0.67,253 2.33,160 2.92,99 3.55,48 3.08,25 2.22,19 2.21,116 70.11
20220325,95.699,24045 0.20,21647 5.32,2489 2.49,733 1.19,448 1.05,400 1.30,201 0.92,110 0.65,253 2.35,165 2.98,106 3.79,48 3.08,20 1.80,18 2.09,119 70.72
20220318,98.300,22873 0.20,21024 5.15,2455 2.45,705 1.15,453 1.07,386 1.26,190 0.87,102 0.60,257 2.39,153 2.79,103 3.71,53 3.37,25 2.28,16 1.83,117 70.81
20220311,96.900,22213 0.20,20920 5.12,2449 2.45,722 1.18,443 1.05,393 1.28,190 0.87,105 0.62,252 2.33,155 2.82,109 3.94,52 3.31,23 2.09,18 2.07,116 70.60
20220304,97.199,22072 0.20,21093 5.15,2443 2.45,706 1.15,441 1.04,390 1.27,189 0.86,105 0.62,256 2.36,157 2.87,104 3.81,52 3.30,24 2.19,14 1.57,120 71.08
20220225,94.199,21963 0.20,21660 5.30,2539 2.54,743 1.22,440 1.04,404 1.32,196 0.90,110 0.65,262 2.42,160 2.92,104 3.83,53 3.34,26 2.37,11 1.23,119 70.65
20220218,96.800,21760 0.19,20747 5.03,2397 2.40,707 1.15,430 1.01,376 1.23,187 0.86,103 0.61,258 2.38,159 2.93,101 3.72,53 3.34,24 2.19,11 1.23,123 71.65
20220211,96.199,21605 0.19,20446 4.96,2351 2.36,693 1.12,422 0.99,368 1.20,190 0.87,109 0.65,256 2.38,158 2.91,104 3.84,51 3.20,26 2.36,10 1.13,123 71.76
20220128,,21417 0.19,19313 4.68,2202 2.21,648 1.05,401 0.95,350 1.14,184 0.85,99 0.59,258 2.38,158 2.91,99 3.71,53 3.29,24 2.18,10 1.14,123 72.69
20220122,,21295 0.18,19011 4.60,2205 2.21,629 1.02,398 0.94,343 1.11,179 0.82,103 0.61,257 2.35,155 2.84,102 3.79,53 3.29,25 2.27,11 1.24,124 72.64
20220114,98.5,21258 0.18,19041 4.62,2206 2.22,626 1.01,392 0.93,332 1.08,181 0.82,106 0.63,257 2.36,159 2.93,103 3.78,52 3.23,26 2.37,12 1.39,121 72.38
20220107,97.199,21204 0.18,18955 4.60,2183 2.19,625 1.01,389 0.92,346 1.12,175 0.80,104 0.62,256 2.36,166 3.07,98 3.60,54 3.31,27 2.44,13 1.48,121 72.22
