20220318,3189 0.06,2177 0.76,364 0.52,104 0.23,89 0.29,102 0.47,43 0.27,28 0.23,82 1.03,35 0.87,21 1.06,5 0.43,7 0.83,2 0.30,40 92.57
20220311,3184 0.06,2206 0.76,368 0.52,110 0.24,88 0.28,99 0.46,45 0.28,29 0.24,85 1.08,34 0.85,21 1.05,5 0.43,7 0.84,2 0.30,39 92.52
20220304,3186 0.06,2230 0.78,363 0.52,111 0.24,85 0.27,100 0.46,43 0.27,23 0.19,87 1.10,36 0.91,21 1.04,5 0.43,7 0.84,2 0.31,39 92.51
20220225,3184 0.06,2281 0.81,372 0.53,106 0.23,91 0.29,96 0.44,45 0.28,22 0.18,90 1.13,31 0.77,23 1.09,6 0.53,6 0.74,2 0.30,39 92.53
20220218,3190 0.06,2307 0.82,379 0.54,107 0.23,97 0.31,94 0.44,42 0.26,24 0.20,91 1.15,29 0.73,23 1.17,5 0.44,4 0.48,3 0.45,39 92.65
20220211,3194 0.06,2289 0.81,378 0.54,112 0.24,92 0.30,90 0.42,42 0.26,26 0.21,91 1.14,32 0.78,22 1.13,5 0.44,4 0.48,3 0.45,39 92.66
20220128,3191 0.06,2317 0.82,367 0.53,114 0.24,90 0.29,91 0.42,41 0.26,27 0.22,94 1.18,28 0.68,24 1.21,5 0.44,4 0.48,3 0.46,40 92.63
20220122,3188 0.06,2343 0.83,368 0.52,119 0.26,92 0.30,92 0.42,45 0.28,30 0.25,79 0.99,31 0.73,24 1.18,5 0.44,4 0.49,3 0.46,40 92.71
20220114,3191 0.06,2346 0.82,365 0.52,121 0.26,93 0.30,86 0.39,47 0.29,31 0.25,85 1.07,31 0.76,21 1.07,5 0.44,5 0.62,2 0.31,40 92.75
20220107,3193 0.06,2354 0.82,377 0.54,120 0.26,97 0.32,87 0.40,47 0.29,27 0.22,87 1.11,27 0.67,21 1.08,5 0.44,4 0.48,3 0.45,40 92.79
20211230,3204 0.06,2383 0.84,381 0.55,127 0.28,95 0.31,86 0.40,45 0.28,27 0.22,81 1.02,27 0.67,19 0.95,6 0.52,5 0.60,3 0.45,40 92.78
20211224,3210 0.06,2431 0.86,382 0.55,127 0.28,94 0.31,91 0.42,42 0.26,29 0.24,86 1.09,29 0.69,18 0.93,5 0.43,6 0.74,2 0.31,40 92.76
20211217,3209 0.06,2431 0.85,395 0.57,136 0.30,94 0.31,92 0.42,45 0.28,27 0.22,77 0.98,27 0.63,20 1.01,5 0.43,7 0.85,2 0.28,38 92.74
20211210,3209 0.06,2424 0.85,382 0.55,124 0.27,102 0.33,93 0.43,43 0.27,26 0.21,80 1.02,25 0.59,19 0.97,7 0.61,7 0.86,1 0.14,38 92.77
20211203,3200 0.06,2363 0.82,387 0.55,118 0.26,100 0.32,97 0.45,44 0.27,23 0.19,77 0.97,28 0.63,19 0.96,7 0.60,7 0.84,1 0.14,38 92.84
20211126,3204 0.06,2267 0.79,351 0.50,112 0.25,96 0.31,87 0.40,40 0.25,21 0.17,78 0.99,29 0.69,19 0.98,9 0.79,6 0.73,1 0.14,38 92.88
20211119,3195 0.06,2141 0.73,305 0.43,98 0.21,76 0.25,72 0.33,34 0.21,24 0.19,64 0.81,30 0.75,19 0.94,7 0.61,8 0.97,1 0.15,39 93.29
20211112,3188 0.06,2199 0.73,307 0.44,97 0.21,74 0.24,62 0.28,36 0.22,24 0.19,69 0.88,24 0.58,17 0.85,8 0.69,8 0.99,0 0.00,39 93.56
20211105,3188 0.06,1775 0.60,270 0.38,98 0.21,65 0.21,67 0.30,31 0.19,22 0.17,65 0.83,21 0.53,20 1.01,7 0.62,7 0.85,1 0.15,38 93.80
20211029,3194 0.06,1786 0.61,261 0.36,102 0.22,64 0.21,64 0.29,28 0.17,22 0.17,65 0.82,20 0.49,24 1.21,6 0.54,8 1.01,1 0.15,37 93.60
20211022,3197 0.06,1770 0.60,248 0.35,102 0.22,59 0.19,64 0.29,27 0.16,19 0.15,68 0.85,25 0.63,20 1.04,8 0.74,8 0.97,2 0.32,37 93.37
20211015,3200 0.06,1774 0.59,245 0.34,102 0.22,65 0.21,61 0.28,28 0.17,17 0.14,67 0.85,24 0.58,17 0.86,11 0.98,7 0.86,3 0.47,37 93.32
20211008,3208 0.06,1847 0.62,244 0.34,94 0.20,70 0.22,55 0.25,27 0.16,23 0.19,57 0.70,26 0.63,18 0.92,9 0.79,8 1.00,3 0.47,37 93.38
