20220408,62.099,686 0.15,2389 6.05,198 2.30,53 0.99,33 0.87,22 0.80,19 0.98,8 0.53,9 0.86,8 1.60,3 1.27,1 0.74,0 0.00,0 0.00,3 82.79
20220401,62.200,673 0.15,2399 6.10,196 2.27,55 1.02,31 0.83,23 0.84,19 0.98,8 0.53,10 0.95,7 1.44,3 1.29,1 0.74,0 0.00,0 0.00,3 82.79
20220325,62.5,666 0.15,2401 6.13,197 2.27,52 0.98,33 0.88,25 0.91,16 0.82,10 0.67,7 0.65,8 1.64,3 1.32,1 0.74,0 0.00,0 0.00,3 82.79
20220318,62.099,658 0.15,2393 6.09,194 2.25,48 0.90,35 0.94,22 0.78,15 0.77,12 0.81,7 0.65,8 1.64,3 1.45,1 0.74,0 0.00,0 0.00,3 82.79
20220311,59.900,650 0.15,2401 6.06,192 2.24,47 0.89,32 0.85,26 0.93,13 0.67,12 0.81,7 0.67,8 1.64,2 0.87,2 1.37,0 0.00,0 0.00,3 82.79
20220304,61.799,654 0.15,2391 5.92,200 2.31,47 0.88,36 0.97,24 0.88,10 0.51,13 0.87,8 0.78,8 1.64,2 0.87,2 1.37,0 0.00,0 0.00,3 82.79
20220225,62.5,647 0.14,2416 5.93,197 2.30,49 0.93,33 0.89,25 0.89,9 0.46,14 0.96,9 0.96,7 1.46,2 0.87,2 1.37,0 0.00,0 0.00,3 82.79
20220218,66.5,639 0.14,2452 6.02,194 2.26,44 0.83,34 0.92,22 0.79,8 0.40,14 0.95,11 1.14,7 1.45,2 0.87,2 1.37,0 0.00,0 0.00,3 82.79
20220211,68.400,627 0.14,2467 6.11,188 2.20,44 0.81,34 0.92,21 0.77,8 0.40,14 0.95,10 1.00,8 1.60,2 0.87,2 1.37,0 0.00,0 0.00,3 82.79
20220128,,635 0.14,2487 6.13,186 2.17,45 0.83,32 0.87,20 0.72,10 0.51,13 0.89,10 1.04,8 1.60,2 0.87,2 1.37,0 0.00,0 0.00,3 82.79
20220122,,629 0.14,2499 6.15,184 2.17,43 0.79,32 0.87,21 0.77,9 0.46,12 0.82,11 1.12,8 1.62,2 0.87,2 1.37,0 0.00,0 0.00,3 82.79
