20220325,67.300,9155 0.42,3553 7.48,486 4.19,143 1.97,93 1.87,94 2.69,53 2.09,34 1.71,96 7.53,54 8.56,44 13.66,18 10.32,10 7.37,5 4.82,13 25.25
20220318,64.599,9118 0.42,3776 8.08,539 4.67,159 2.21,90 1.80,95 2.66,58 2.29,37 1.87,99 7.69,58 9.47,44 14.28,13 7.32,13 9.78,5 5.04,11 22.34
20220311,65.300,9055 0.42,3721 8.05,527 4.54,158 2.19,99 2.00,96 2.68,60 2.38,37 1.87,97 7.61,60 9.48,43 13.67,10 5.62,13 9.87,5 4.95,12 24.58
20220304,52.700,8986 0.42,4105 8.99,590 5.09,167 2.32,117 2.39,105 2.97,53 2.10,45 2.30,98 7.78,54 8.72,39 12.74,8 4.52,13 9.75,6 6.01,10 23.83
20220225,49.75,8959 0.42,4134 9.05,602 5.19,168 2.33,121 2.47,98 2.77,56 2.22,46 2.36,97 7.72,52 8.34,40 12.94,8 4.52,13 9.74,6 5.99,10 23.87
20220218,52.299,8922 0.42,4084 8.93,598 5.15,166 2.31,116 2.36,105 2.97,53 2.11,44 2.26,98 7.71,51 8.10,42 13.44,8 4.53,13 9.72,6 5.99,10 23.93
20220211,53.400,8897 0.42,3994 8.76,584 5.04,163 2.27,113 2.30,100 2.81,60 2.39,43 2.20,95 7.47,50 7.99,41 13.04,10 5.86,11 8.34,6 6.03,10 25.00
20220128,,8871 0.42,3963 8.69,583 5.03,159 2.20,114 2.32,100 2.81,61 2.43,42 2.15,95 7.40,50 7.92,41 13.07,10 5.85,11 8.34,6 6.03,10 25.25
20220122,,8874 0.42,4002 8.73,578 4.97,164 2.28,114 2.31,96 2.68,62 2.46,42 2.14,94 7.30,50 7.86,42 13.24,10 5.85,11 8.33,5 5.02,11 26.31
20220114,53.799,8872 0.43,3966 8.61,578 4.96,165 2.30,110 2.25,95 2.64,62 2.48,40 2.07,92 7.23,51 8.12,42 13.34,10 5.85,11 8.33,5 5.02,11 26.32
20220107,58.5,8875 0.43,3966 8.53,586 5.01,161 2.23,113 2.29,90 2.52,60 2.38,36 1.85,100 7.87,52 8.45,37 11.77,12 6.96,11 8.32,5 5.07,11 26.25
20211230,64.400,8883 0.43,3896 8.38,581 4.98,164 2.28,110 2.25,89 2.50,54 2.15,39 2.01,98 7.73,50 8.08,38 11.76,12 6.89,11 8.32,6 6.03,11 26.13
20211224,,8877 0.44,3937 8.47,600 5.14,160 2.25,113 2.31,88 2.48,57 2.25,38 1.93,93 7.28,55 8.76,37 11.33,12 6.90,11 8.32,6 6.05,11 26.02
20211217,61.700,8883 0.44,4009 8.66,615 5.31,166 2.33,109 2.24,91 2.58,57 2.26,40 2.03,88 6.75,59 9.49,35 11.01,12 6.92,13 9.88,5 4.99,11 25.03
20211210,60.599,8902 0.44,4140 8.97,644 5.57,170 2.39,110 2.26,91 2.59,63 2.49,42 2.12,89 6.89,58 9.34,35 10.89,11 6.40,12 8.97,6 5.87,11 24.74
20211203,,8884 0.43,4177 9.14,669 5.82,172 2.43,108 2.23,99 2.81,65 2.54,36 1.84,96 7.49,52 8.32,34 10.51,12 6.94,13 9.82,5 4.96,11 24.63
20211126,57.200,8887 0.43,4352 9.56,698 6.11,180 2.54,122 2.52,101 2.87,61 2.42,37 1.88,100 7.73,55 8.88,35 10.95,10 5.69,11 8.31,6 5.90,11 24.13
20211119,,8865 0.42,4619 10.12,732 6.41,202 2.84,128 2.65,107 3.06,55 2.16,38 1.91,103 8.05,50 7.75,38 11.77,8 4.59,13 9.93,5 5.01,11 23.26
20211112,55.799,8877 0.43,4941 10.85,773 6.82,229 3.21,132 2.74,111 3.18,62 2.43,37 1.87,107 8.36,46 7.15,39 11.77,9 5.25,12 9.26,6 6.15,9 20.47
20211105,50.599,8898 0.43,5047 11.15,784 6.86,238 3.35,135 2.79,108 3.07,64 2.52,39 1.97,104 8.17,48 7.61,35 10.63,10 5.76,12 9.26,5 5.01,10 21.34
20211029,50.299,8905 0.43,5286 11.63,789 6.91,243 3.43,136 2.82,112 3.18,65 2.58,39 1.96,104 8.22,48 7.73,35 10.56,10 5.88,12 9.34,4 4.08,10 21.18
20211022,44.400,8905 0.43,5257 11.71,803 7.03,240 3.37,129 2.66,119 3.38,66 2.62,38 1.91,103 8.17,47 7.49,35 10.66,10 5.87,12 9.28,5 5.15,9 20.20
