20220318,21092 0.65,49817 11.47,7687 6.68,2219 3.03,1641 3.27,1311 3.60,608 2.33,406 2.00,674 5.06,258 3.88,99 2.90,33 1.74,16 1.15,11 1.05,37 51.12
20220311,21072 0.65,50082 11.54,7731 6.73,2218 3.03,1648 3.29,1323 3.63,608 2.32,403 1.99,674 5.07,252 3.76,100 2.92,34 1.80,16 1.17,9 0.85,38 51.18
20220304,21017 0.65,50539 11.66,7831 6.81,2246 3.07,1686 3.36,1332 3.66,623 2.38,407 2.01,678 5.08,253 3.77,100 2.94,37 1.93,19 1.36,8 0.75,34 50.50
20220225,21010 0.65,50800 11.72,7888 6.86,2276 3.11,1703 3.40,1335 3.67,631 2.41,408 2.02,688 5.16,260 3.90,101 2.98,34 1.81,17 1.23,7 0.67,33 50.34
20220218,20974 0.65,50826 11.72,7905 6.88,2253 3.07,1718 3.43,1326 3.64,624 2.39,418 2.07,689 5.17,251 3.75,100 2.96,38 1.97,19 1.40,7 0.66,32 50.15
