20220408,26.850,127531 0.21,163545 2.88,36592 2.19,15630 1.55,7431 1.08,7409 1.49,3524 1.00,2073 0.77,4013 2.29,1884 2.12,886 2.02,296 1.20,141 0.81,97 0.71,645 79.58
20220401,26.600,127004 0.21,162390 2.86,36508 2.19,15647 1.55,7411 1.08,7439 1.50,3514 1.00,2077 0.77,4012 2.29,1888 2.12,896 2.04,297 1.21,142 0.81,93 0.68,647 79.60
20220325,25.75,126632 0.20,160542 2.83,36263 2.17,15604 1.55,7391 1.08,7388 1.49,3508 1.00,2089 0.78,4004 2.28,1893 2.13,885 2.02,293 1.19,150 0.85,92 0.67,651 79.68
20220318,26.25,126627 0.21,157716 2.79,35845 2.14,15512 1.54,7340 1.07,7371 1.48,3466 0.99,2075 0.77,3966 2.26,1875 2.11,882 2.00,287 1.16,146 0.83,95 0.70,655 79.88
20220311,24.75,126566 0.21,157735 2.80,35973 2.15,15639 1.55,7397 1.08,7419 1.49,3497 0.99,2091 0.78,3971 2.26,1880 2.11,891 2.03,282 1.13,152 0.86,100 0.73,653 79.76
20220304,25.049,126582 0.21,156701 2.78,35683 2.13,15550 1.54,7306 1.06,7359 1.48,3471 0.99,2095 0.78,3951 2.25,1861 2.10,876 2.00,292 1.18,150 0.85,100 0.73,662 79.86
20220225,24.850,126435 0.21,157106 2.79,35811 2.14,15596 1.55,7325 1.06,7383 1.48,3491 0.99,2097 0.78,3956 2.25,1868 2.10,878 2.00,288 1.16,153 0.86,100 0.73,665 79.81
20220218,25.399,126302 0.21,155566 2.76,35560 2.12,15550 1.54,7277 1.06,7358 1.48,3481 0.99,2103 0.78,3957 2.26,1862 2.10,884 2.02,290 1.17,149 0.84,97 0.71,680 79.90
20220211,25.600,126158 0.20,153735 2.73,35291 2.10,15441 1.53,7222 1.05,7342 1.47,3491 0.99,2110 0.78,3953 2.25,1866 2.10,882 2.01,295 1.19,145 0.82,99 0.72,690 79.97
20220128,,126145 0.20,153620 2.73,35350 2.10,15486 1.54,7262 1.05,7370 1.48,3497 0.99,2104 0.78,3954 2.25,1863 2.09,898 2.05,294 1.19,147 0.83,99 0.72,685 79.91
20220122,,126084 0.20,153069 2.72,35264 2.10,15449 1.53,7282 1.06,7343 1.48,3491 0.99,2107 0.78,3956 2.25,1877 2.11,898 2.05,288 1.16,147 0.83,105 0.77,688 79.89
20220114,25.899,125993 0.20,152942 2.72,35314 2.10,15459 1.53,7338 1.07,7384 1.48,3499 0.99,2148 0.80,3997 2.27,1883 2.12,896 2.05,293 1.18,147 0.83,106 0.78,690 79.80, -920
20220107,25.75,125970 0.20,153231 2.73,35521 2.11,15566 1.54,7392 1.07,7460 1.50,3522 1.00,2141 0.80,4031 2.29,1916 2.16,894 2.04,296 1.20,148 0.84,101 0.74,694 79.70
20211230,25.299,126122 0.21,153895 2.74,35685 2.12,15675 1.56,7427 1.08,7501 1.51,3543 1.01,2163 0.81,4039 2.30,1930 2.18,894 2.04,297 1.20,148 0.84,100 0.73,698 79.62, -135,271
20211224,,126220 0.21,154936 2.76,35925 2.14,15754 1.56,7460 1.08,7546 1.52,3552 1.01,2177 0.81,4068 2.32,1945 2.19,883 2.01,295 1.19,151 0.85,99 0.72,696 79.54
20211217,25.049,126248 0.21,154648 2.76,35854 2.13,15762 1.57,7464 1.08,7529 1.51,3552 1.01,2167 0.81,4061 2.31,1955 2.20,876 1.99,297 1.20,152 0.86,98 0.72,698 79.56
20211210,24.950,126356 0.21,153902 2.75,35743 2.12,15724 1.56,7451 1.08,7497 1.50,3553 1.01,2152 0.80,4036 2.30,1954 2.20,877 2.00,300 1.21,151 0.85,99 0.73,697 79.60
20211203,24.75,126331 0.21,154292 2.75,35853 2.13,15768 1.57,7505 1.09,7536 1.51,3546 1.01,2176 0.81,4036 2.30,1974 2.23,863 1.96,299 1.21,152 0.86,106 0.78,691 79.52
20211126,24.450,126400 0.21,153506 2.74,35646 2.11,15664 1.55,7457 1.08,7478 1.50,3527 1.00,2168 0.81,4007 2.28,1950 2.19,859 1.96,304 1.23,151 0.86,105 0.77,698 79.64
20211119,25.049,126524 0.21,153399 2.74,35651 2.11,15696 1.56,7449 1.08,7448 1.49,3533 1.00,2145 0.80,4012 2.28,1941 2.18,856 1.94,314 1.27,152 0.86,108 0.79,696 79.61
20211112,24.5,126719 0.21,154210 2.75,35898 2.13,15839 1.57,7477 1.08,7531 1.51,3563 1.01,2158 0.80,4050 2.31,1964 2.20,861 1.96,317 1.28,153 0.87,107 0.78,699 79.45
20211105,24.649,127027 0.21,152754 2.72,35414 2.10,15631 1.55,7357 1.07,7427 1.49,3505 0.99,2128 0.79,3998 2.28,1917 2.15,852 1.93,314 1.26,154 0.88,106 0.77,698 79.73
20211029,24.700,127229 0.21,152468 2.71,35352 2.09,15595 1.55,7326 1.06,7426 1.49,3487 0.99,2113 0.79,3981 2.26,1904 2.14,851 1.93,310 1.25,153 0.87,104 0.76,702 79.83
20211022,24.700,127353 0.21,152739 2.72,35442 2.10,15646 1.55,7343 1.06,7416 1.49,3499 0.99,2115 0.79,4003 2.28,1907 2.14,857 1.95,313 1.26,151 0.86,105 0.76,700 79.76
20211015,24.700,127409 0.21,153944 2.74,35769 2.12,15736 1.56,7434 1.08,7486 1.50,3526 1.00,2135 0.79,4029 2.29,1951 2.19,855 1.94,316 1.27,159 0.91,105 0.77,695 79.55
20211008,24.450,127378 0.21,153986 2.74,35792 2.12,15763 1.56,7411 1.07,7488 1.50,3542 1.01,2136 0.79,4046 2.30,1939 2.18,857 1.95,317 1.28,159 0.91,104 0.76,696 79.54
20211001,24.200,127389 0.21,154116 2.74,35758 2.12,15709 1.56,7425 1.08,7508 1.51,3529 1.00,2137 0.79,4042 2.30,1930 2.17,863 1.96,313 1.26,162 0.92,103 0.75,697 79.55
20210924,24.649,127543 0.21,154154 2.74,35728 2.12,15718 1.56,7433 1.08,7510 1.51,3538 1.00,2131 0.79,4043 2.30,1933 2.17,865 1.96,314 1.27,162 0.92,102 0.75,698 79.54
20210917,24.75,127712 0.21,153932 2.74,35675 2.11,15707 1.56,7419 1.08,7483 1.50,3532 1.00,2116 0.79,4036 2.29,1930 2.17,872 1.98,315 1.27,162 0.92,101 0.74,694 79.56
20210911,,127746 0.21,154844 2.76,35941 2.13,15782 1.57,7464 1.08,7528 1.51,3561 1.01,2132 0.79,4071 2.32,1935 2.17,880 2.00,314 1.27,159 0.91,102 0.75,694 79.45
20210903,24.700,127834 0.21,155179 2.76,36004 2.13,15821 1.57,7453 1.08,7558 1.52,3567 1.01,2132 0.79,4070 2.31,1931 2.16,885 2.01,321 1.29,156 0.89,105 0.77,696 79.41
20210827,24.600,127890 0.21,156109 2.78,36121 2.14,15924 1.58,7495 1.09,7571 1.52,3559 1.01,2139 0.79,4094 2.33,1941 2.18,885 2.01,320 1.29,155 0.89,108 0.79,692 79.32
20210820,23.649,127935 0.21,157222 2.80,36299 2.16,15947 1.58,7545 1.10,7612 1.53,3595 1.02,2150 0.80,4113 2.34,1957 2.20,886 2.01,321 1.29,160 0.92,104 0.76,693 79.21
20210813,23.700,127796 0.21,155292 2.75,35550 2.11,15659 1.55,7409 1.07,7486 1.50,3529 1.00,2139 0.80,4070 2.32,1925 2.16,875 1.99,326 1.31,155 0.88,103 0.76,693 79.51
20210806,25.700,127706 0.21,149809 2.64,34173 2.02,15203 1.50,7058 1.02,7210 1.45,3395 0.96,2041 0.76,3928 2.23,1868 2.09,873 1.98,317 1.28,152 0.87,101 0.74,692 80.18
20210730,25.399,127810 0.21,151485 2.67,34468 2.04,15309 1.51,7143 1.03,7287 1.46,3423 0.97,2045 0.76,3964 2.26,1868 2.08,877 1.99,317 1.28,155 0.88,97 0.71,692 80.06
