20220318,19537 0.38,5442 2.17,891 1.24,331 0.78,143 0.49,141 0.66,97 0.66,76 0.66,144 2.03,80 2.23,32 1.80,9 0.88,8 1.04,4 0.74,36 84.15
20220311,19515 0.38,5443 2.18,895 1.25,333 0.79,145 0.50,140 0.66,94 0.64,75 0.66,144 2.02,80 2.20,32 1.80,9 0.88,7 0.91,4 0.74,36 84.33
20220304,19476 0.39,5426 2.17,897 1.25,330 0.78,142 0.49,140 0.66,94 0.64,74 0.65,144 2.02,80 2.19,32 1.80,10 0.96,7 0.91,5 0.93,35 84.12
20220225,19445 0.39,5427 2.17,900 1.26,328 0.78,143 0.49,140 0.66,96 0.66,72 0.63,145 2.03,79 2.17,32 1.80,10 0.96,7 0.91,5 0.93,35 84.12
20220218,19388 0.39,5400 2.16,894 1.25,327 0.77,143 0.49,143 0.67,95 0.65,73 0.64,143 2.00,79 2.18,33 1.88,10 0.96,7 0.91,5 0.93,35 84.07
20220211,19364 0.39,5408 2.16,896 1.25,329 0.78,139 0.47,147 0.69,94 0.64,73 0.64,143 2.00,80 2.23,30 1.72,10 0.94,7 0.91,5 0.93,35 84.20
20220128,19347 0.39,5404 2.16,899 1.26,327 0.77,138 0.47,146 0.68,96 0.66,72 0.63,143 2.00,80 2.23,30 1.72,10 0.94,7 0.91,5 0.93,35 84.20
