20220318,50945 1.57,55227 16.57,9491 9.97,3495 6.11,1394 3.67,1451 5.16,583 2.99,310 2.06,543 5.50,207 4.06,90 3.71,28 2.04,9 0.90,4 0.54,29 35.07
20220311,50800 1.57,55608 16.70,9544 10.00,3515 6.16,1384 3.64,1459 5.18,575 2.95,303 2.01,553 5.58,213 4.16,92 3.74,28 2.02,11 1.12,2 0.26,29 34.83
20220304,50792 1.58,55913 16.77,9539 9.99,3506 6.14,1419 3.73,1463 5.19,577 2.95,303 2.01,549 5.56,205 3.97,94 3.82,31 2.25,10 1.01,4 0.52,28 34.44
20220225,50777 1.58,56243 16.88,9558 10.01,3505 6.14,1428 3.76,1468 5.21,582 2.98,306 2.03,550 5.57,213 4.16,97 3.97,34 2.50,7 0.68,2 0.27,27 34.19
20220218,50775 1.58,56390 16.86,9505 9.96,3493 6.11,1415 3.72,1467 5.21,586 3.00,298 1.98,543 5.50,217 4.23,93 3.83,37 2.65,8 0.77,4 0.54,27 33.97
20220211,50836 1.58,56498 16.88,9492 9.94,3505 6.13,1409 3.70,1479 5.26,585 3.00,300 1.99,555 5.62,217 4.24,103 4.19,33 2.38,6 0.59,3 0.40,28 34.01
20220128
20220122,50842 1.58,56814 16.93,9479 9.93,3533 6.19,1399 3.67,1475 5.24,584 2.99,293 1.95,547 5.53,225 4.40,100 4.06,36 2.60,8 0.75,3 0.37,28 33.74
20220114,50923 1.59,56928 16.95,9482 9.93,3543 6.20,1413 3.70,1475 5.24,587 3.00,295 1.96,553 5.61,228 4.50,97 3.95,32 2.33,9 0.87,5 0.62,27 33.46
20220107,51110 1.60,57070 16.92,9435 9.88,3500 6.12,1391 3.64,1467 5.21,573 2.93,296 1.98,548 5.54,223 4.41,95 3.86,36 2.63,11 1.11,2 0.25,29 33.86
20211230,51277 1.60,57708 17.07,9370 9.79,3513 6.13,1419 3.72,1452 5.15,567 2.90,305 2.04,549 5.56,222 4.38,92 3.73,41 3.03,8 0.81,3 0.38,29 33.64
20211224,51328 1.60,57858 17.13,9405 9.82,3548 6.18,1417 3.71,1467 5.20,584 2.99,310 2.07,552 5.59,218 4.29,93 3.77,39 2.86,10 1.01,4 0.54,27 33.15
20211217,51451 1.61,58000 17.16,9380 9.79,3547 6.18,1411 3.70,1451 5.14,599 3.07,298 1.99,554 5.62,218 4.29,96 3.91,38 2.81,8 0.77,6 0.78,27 33.13
20211210,51671 1.62,58107 17.09,9297 9.69,3525 6.13,1389 3.64,1436 5.09,580 2.96,298 1.98,540 5.48,221 4.40,91 3.70,33 2.42,12 1.17,5 0.64,30 33.89
20211203,51847 1.62,58828 17.24,9298 9.65,3554 6.18,1407 3.68,1462 5.18,567 2.89,296 1.97,544 5.46,228 4.50,94 3.84,33 2.41,11 1.07,2 0.27,31 33.96
20211126,51944 1.63,58459 17.12,9216 9.54,3620 6.28,1386 3.62,1459 5.16,588 2.99,305 2.03,538 5.42,240 4.74,91 3.67,34 2.44,12 1.17,1 0.13,30 33.97
20211119,51926 1.63,59149 17.26,9308 9.57,3660 6.34,1389 3.61,1447 5.10,593 3.01,318 2.12,491 4.97,233 4.52,93 3.79,32 2.33,12 1.23,3 0.39,31 34.05
20211112,51878 1.63,58290 17.08,9362 9.60,3735 6.46,1393 3.62,1451 5.10,580 2.93,322 2.14,514 5.18,228 4.47,93 3.79,29 2.11,11 1.08,3 0.40,32 34.32
