20210820,,1007 0.20,936 2.84,100 1.29,30 0.61,31 0.93,21 0.88,9 0.51,5 0.35,17 1.86,13 3.09,11 5.27,7 5.86,6 6.89,2 2.90,11 66.43
20210813,,878 0.17,861 2.63,101 1.31,29 0.58,28 0.83,20 0.83,9 0.51,5 0.35,17 1.88,13 3.17,12 5.93,6 5.16,6 6.89,2 2.90,11 66.77
20210806,,814 0.16,807 2.49,98 1.27,26 0.53,24 0.70,23 0.97,9 0.51,4 0.28,17 1.90,13 3.17,12 5.93,6 5.10,6 6.89,2 2.90,11 67.13
20210730,,802 0.16,800 2.49,95 1.23,25 0.51,24 0.70,22 0.92,10 0.57,4 0.28,17 1.91,13 3.17,12 5.93,6 5.02,6 6.89,2 2.90,11 67.23
20210723,,808 0.16,805 2.49,95 1.24,23 0.47,22 0.64,23 0.95,9 0.51,5 0.36,17 1.92,13 3.17,13 6.52,5 4.32,6 6.89,2 2.90,11 67.37
20210716,,809 0.16,803 2.48,90 1.17,21 0.42,22 0.64,24 1.00,9 0.51,5 0.36,17 1.93,13 3.17,13 6.52,5 4.32,6 6.89,2 2.90,11 67.43
20210709,186.5,822 0.17,806 2.50,90 1.16,20 0.41,21 0.61,24 1.00,9 0.52,5 0.36,17 1.93,13 3.17,13 6.52,5 4.32,6 6.89,2 2.90,11 67.45
20210702,,800 0.16,806 2.50,90 1.17,21 0.44,20 0.59,23 0.96,9 0.52,5 0.36,17 1.94,13 3.17,13 6.50,5 4.32,6 6.89,2 2.90,11 67.49
20210625,190.5,757 0.15,768 2.39,91 1.18,20 0.42,20 0.59,23 0.95,10 0.57,5 0.36,17 1.95,13 3.17,13 6.33,5 4.32,6 6.86,2 2.90,11 67.79
20210618,192.5,717 0.15,725 2.29,90 1.16,20 0.42,19 0.55,22 0.92,9 0.51,6 0.44,18 2.05,14 3.40,12 5.91,5 4.32,6 6.84,2 2.90,11 68.05
20210611,177.5,545 0.13,635 2.07,86 1.06,23 0.48,20 0.59,19 0.79,9 0.51,5 0.35,21 2.38,13 3.18,12 5.91,5 4.32,6 6.78,2 2.90,11 68.47
20210604,,519 0.12,597 1.99,79 0.99,22 0.46,20 0.59,16 0.65,11 0.62,5 0.35,20 2.29,13 3.18,12 5.90,5 4.32,6 6.75,2 2.90,11 68.80
20210528,,511 0.12,593 1.99,75 0.95,22 0.46,20 0.59,18 0.75,9 0.51,5 0.36,20 2.30,13 3.18,12 5.90,6 5.32,5 5.66,2 2.90,11 68.94
20210521,,506 0.12,590 1.98,71 0.89,25 0.53,22 0.65,17 0.70,10 0.56,5 0.36,20 2.30,13 3.18,12 5.90,6 5.19,5 5.66,2 2.90,11 69.00
20210514,179.5,501 0.11,573 1.90,72 0.91,24 0.51,21 0.63,20 0.80,11 0.64,6 0.45,19 2.23,13 3.18,12 5.88,6 5.09,5 5.66,2 2.90,11 69.05
20210507,,518 0.12,606 2.00,74 0.92,26 0.55,20 0.60,19 0.77,10 0.58,8 0.59,18 2.10,14 3.35,13 6.44,5 4.32,5 5.66,2 2.90,11 69.02
20210429,182.5,427 0.10,545 1.85,78 0.97,32 0.67,19 0.57,19 0.78,11 0.63,5 0.36,21 2.43,15 3.70,12 5.83,4 3.32,6 6.76,2 2.90,11 69.04
20210423,,435 0.10,552 1.84,81 1.01,31 0.65,19 0.57,18 0.74,11 0.63,7 0.52,21 2.49,14 3.49,12 5.83,4 3.32,6 6.76,2 2.91,11 69.05
20210416,174.5,420 0.10,545 1.80,80 0.98,31 0.65,18 0.54,19 0.78,10 0.57,7 0.51,21 2.45,14 3.35,13 6.16,4 3.32,6 6.76,2 2.91,11 69.03
20210409,,429 0.10,563 1.85,81 1.00,24 0.51,21 0.62,18 0.74,9 0.51,6 0.44,24 2.77,13 3.18,13 6.17,4 3.32,6 6.76,2 2.91,11 69.03
20210401,,426 0.10,564 1.88,82 1.01,23 0.49,21 0.62,17 0.70,9 0.50,6 0.43,24 2.81,13 3.18,13 6.17,4 3.32,6 6.76,2 2.91,11 69.02
