20220318,14072 0.44,9410 13.02,1503 7.64,407 3.40,256 3.10,224 3.78,112 2.64,80 2.39,105 4.89,55 4.70,27 4.46,6 1.91,7 3.20,3 1.79,16 42.55
20220311,14017 0.43,9391 12.99,1508 7.68,408 3.40,255 3.08,222 3.75,110 2.59,79 2.36,105 4.87,58 4.94,26 4.35,6 1.91,7 3.19,3 1.79,16 42.57
20220304,13986 0.43,9342 12.94,1503 7.62,411 3.43,261 3.17,217 3.68,107 2.52,83 2.48,109 5.02,56 4.79,26 4.31,6 1.94,7 3.15,3 1.79,16 42.64
20220225,13966 0.44,9372 12.99,1499 7.59,407 3.40,262 3.18,219 3.70,107 2.52,84 2.51,108 4.97,56 4.74,26 4.32,6 1.95,7 3.15,3 1.79,16 42.67
