20220408,68.300,495 0.07,2760 6.44,277 2.68,80 1.30,61 1.36,49 1.48,19 0.86,22 1.24,28 2.38,26 4.65,24 8.17,5 2.77,3 2.43,4 4.49,17 59.60
20220401,69.099,492 0.07,2783 6.52,279 2.69,81 1.31,62 1.38,49 1.48,20 0.91,20 1.13,29 2.47,25 4.51,24 8.17,5 2.77,3 2.43,4 4.50,17 59.57
20220325,69.199,478 0.07,2781 6.52,280 2.69,80 1.30,62 1.38,51 1.53,20 0.91,20 1.13,29 2.46,25 4.52,24 8.16,5 2.77,3 2.43,4 4.50,17 59.55
20220318,70.300,467 0.07,2763 6.48,280 2.70,76 1.23,64 1.42,52 1.58,22 1.00,20 1.13,29 2.49,25 4.52,24 8.05,5 2.77,3 2.43,4 4.50,17 59.55
20220311,69.699,470 0.06,2762 6.48,279 2.67,77 1.25,64 1.42,53 1.64,20 0.92,20 1.13,28 2.39,26 4.65,24 8.07,4 2.18,3 2.43,4 4.50,17 60.14
20220304,72.400,444 0.06,2727 6.41,271 2.60,74 1.21,64 1.42,54 1.65,21 0.95,20 1.12,29 2.45,27 4.94,23 7.86,4 2.18,3 2.43,4 4.50,17 60.14
20220225,68.300,431 0.06,2679 6.31,273 2.60,74 1.19,62 1.38,53 1.62,23 1.02,21 1.17,29 2.46,27 4.97,23 7.90,4 2.18,3 2.43,4 4.50,17 60.14
20220218,,429 0.06,2690 6.34,269 2.56,79 1.28,58 1.29,56 1.72,21 0.95,22 1.23,31 2.63,26 4.74,23 7.91,4 2.18,3 2.43,4 4.50,17 60.12
20220211,69.300,427 0.06,2680 6.32,272 2.58,78 1.26,60 1.33,54 1.65,21 0.94,23 1.29,32 2.67,26 4.72,23 7.91,4 2.18,3 2.43,4 4.50,17 60.09
20220128,,424 0.05,2681 6.32,271 2.57,79 1.28,61 1.36,51 1.57,20 0.89,23 1.29,32 2.64,27 4.83,23 7.91,4 2.18,3 2.43,4 4.50,17 60.09
20220122,,423 0.05,2678 6.30,269 2.56,77 1.25,62 1.37,51 1.55,21 0.94,23 1.29,32 2.65,28 4.98,23 7.90,4 2.18,3 2.43,4 4.50,17 59.97
20220114,69.400,413 0.05,2669 6.29,270 2.57,77 1.25,62 1.37,51 1.54,20 0.90,24 1.36,32 2.68,28 4.96,23 7.90,4 2.18,3 2.43,4 4.50,17 59.94
20220107,70.099,404 0.05,2674 6.28,266 2.54,78 1.26,60 1.33,55 1.66,19 0.84,25 1.42,32 2.67,28 4.95,23 7.90,4 2.18,3 2.43,4 4.50,17 59.92
20211230,69.300,405 0.05,2629 6.19,266 2.53,75 1.21,60 1.32,54 1.63,18 0.79,26 1.46,32 2.68,29 5.16,23 7.88,4 2.18,3 2.43,4 4.50,17 59.91
20211224,69.800,401 0.05,2627 6.20,265 2.51,76 1.23,61 1.34,52 1.57,18 0.79,27 1.52,33 2.80,28 5.02,23 7.86,4 2.18,3 2.43,4 4.51,17 59.91
20211217,,398 0.05,2614 6.17,267 2.54,79 1.27,60 1.33,52 1.57,17 0.75,27 1.52,33 2.82,28 5.02,23 7.86,4 2.18,3 2.43,4 4.51,17 59.91
20211210,69.5,395 0.05,2610 6.16,268 2.56,80 1.28,63 1.40,50 1.52,16 0.71,27 1.53,33 2.82,28 5.03,23 7.86,4 2.18,3 2.43,4 4.51,17 59.89
20211203,69.900,393 0.05,2607 6.15,269 2.58,76 1.21,64 1.42,51 1.55,16 0.71,26 1.46,34 2.88,28 5.04,23 7.86,4 2.18,3 2.43,4 4.51,17 59.89
20211126,69.5,382 0.05,2601 6.08,269 2.57,83 1.33,66 1.47,48 1.46,16 0.71,27 1.52,33 2.84,28 5.04,23 7.86,4 2.17,3 2.43,4 4.51,17 59.89
20211119,71.199,384 0.05,2595 6.06,262 2.50,83 1.35,60 1.34,49 1.49,17 0.74,25 1.42,35 2.97,27 4.80,24 8.22,4 2.17,3 2.43,4 4.51,17 59.89
20211112,73.5,384 0.05,2606 6.07,264 2.52,84 1.37,60 1.35,43 1.31,19 0.82,27 1.55,35 3.02,26 4.64,24 8.24,4 2.17,3 2.43,4 4.50,17 59.89
20211105,74.5,384 0.05,2610 6.07,266 2.54,83 1.35,60 1.35,43 1.31,19 0.82,26 1.48,36 3.09,26 4.63,24 8.24,4 2.17,3 2.43,4 4.50,17 59.89
20211029,75.5,384 0.05,2605 6.06,263 2.53,83 1.34,59 1.33,43 1.31,20 0.87,25 1.42,37 3.15,26 4.64,24 8.24,4 2.17,3 2.43,4 4.50,17 59.89
20211022,74.199,380 0.05,2621 6.08,264 2.55,82 1.32,61 1.37,43 1.31,19 0.82,26 1.48,36 3.10,26 4.65,24 8.24,4 2.17,4 3.40,3 3.50,17 59.89
20211015,,383 0.05,2618 6.06,263 2.52,86 1.39,60 1.35,42 1.28,20 0.86,26 1.48,36 3.11,26 4.65,24 8.24,4 2.16,4 3.39,3 3.50,17 59.89
20211008,,383 0.04,2624 6.06,265 2.55,84 1.35,62 1.39,42 1.29,20 0.85,25 1.42,39 3.40,24 4.38,24 8.24,4 2.16,4 3.38,3 3.50,17 59.89
20211001,76.199,383 0.04,2628 6.05,267 2.57,87 1.40,60 1.35,42 1.29,20 0.86,25 1.42,39 3.41,24 4.38,25 8.73,3 1.67,4 3.37,3 3.50,17 59.89
20210924,76.400,379 0.04,2622 6.06,265 2.56,87 1.40,59 1.33,43 1.32,20 0.86,25 1.42,39 3.39,24 4.39,25 8.73,3 1.67,4 3.37,3 3.50,17 59.89
20210917,76.300,382 0.04,2617 6.05,267 2.59,84 1.36,59 1.32,44 1.35,20 0.86,25 1.42,39 3.38,24 4.41,25 8.73,3 1.67,4 3.37,3 3.50,17 59.89
20210911,,383 0.04,2617 6.05,267 2.60,82 1.32,59 1.32,45 1.38,20 0.87,25 1.42,39 3.35,24 4.42,25 8.73,3 1.67,4 3.37,3 3.50,17 59.89
20210903,77.5,380 0.04,2630 6.06,268 2.60,80 1.28,58 1.30,46 1.40,20 0.87,26 1.48,39 3.35,23 4.18,26 8.98,3 1.67,4 3.32,3 3.50,17 59.89
20210827,,381 0.04,2632 6.06,268 2.61,80 1.29,59 1.33,47 1.44,18 0.77,27 1.54,38 3.28,24 4.33,26 8.98,4 2.34,3 2.55,3 3.48,17 59.89
20210820,76.900,381 0.04,2629 6.05,265 2.57,83 1.33,57 1.28,48 1.47,19 0.82,27 1.54,38 3.27,24 4.41,26 8.97,4 2.24,3 2.55,3 3.48,17 59.89
20210813,77.800,379 0.04,2672 6.15,253 2.48,84 1.36,54 1.22,48 1.47,20 0.87,28 1.59,39 3.38,22 3.97,28 9.81,3 1.67,3 2.55,3 3.47,17 59.89
20210806,79.699,377 0.04,2664 6.14,251 2.45,87 1.40,54 1.22,48 1.48,21 0.91,29 1.65,37 3.28,22 3.98,28 9.79,3 1.67,3 2.55,3 3.47,17 59.89
20210730,80.199,378 0.04,2662 6.13,253 2.48,85 1.36,56 1.26,48 1.47,22 0.97,28 1.59,37 3.28,22 3.96,28 9.79,3 1.67,3 2.55,3 3.47,17 59.89
20210723,79.400,380 0.04,2668 6.14,257 2.53,82 1.32,55 1.24,48 1.48,20 0.89,31 1.77,36 3.20,23 4.20,27 9.53,3 1.67,3 2.55,3 3.48,17 59.89
20210716,80.099,374 0.04,2658 6.12,255 2.52,80 1.28,55 1.23,48 1.49,19 0.84,29 1.65,39 3.44,23 4.19,27 9.52,3 1.67,3 2.55,3 3.49,17 59.89
20210709,,370 0.04,2645 6.08,244 2.40,80 1.29,59 1.33,45 1.41,19 0.83,30 1.71,39 3.55,23 4.18,27 9.51,3 1.67,3 2.55,3 3.49,17 59.89
20210702,85.900,352 0.04,2565 5.92,251 2.47,73 1.18,60 1.36,48 1.50,18 0.80,29 1.65,38 3.33,24 4.26,28 9.95,3 1.67,3 2.55,3 3.36,17 59.89
20210625,86.599,332 0.04,2507 5.79,249 2.47,75 1.20,57 1.28,53 1.66,16 0.71,31 1.77,39 3.46,23 4.17,28 9.92,3 1.67,3 2.55,3 3.36,17 59.89
20210618,,318 0.04,2525 5.83,256 2.52,74 1.18,57 1.29,51 1.60,15 0.65,30 1.71,40 3.53,22 3.94,29 10.16,3 1.67,3 2.55,3 3.36,17 59.89
20210611,83.699,319 0.04,2534 5.84,256 2.51,74 1.18,55 1.25,52 1.63,15 0.65,31 1.77,40 3.54,23 4.17,28 9.87,3 1.67,3 2.55,3 3.36,17 59.89
20210604,82.400,313 0.03,2522 5.82,255 2.49,72 1.15,56 1.26,53 1.67,15 0.65,30 1.71,42 3.72,24 4.31,27 9.52,3 1.67,3 2.55,3 3.49,17 59.89
20210528,81.900,312 0.03,2524 5.81,257 2.51,68 1.08,60 1.36,51 1.60,15 0.65,30 1.71,40 3.54,25 4.50,27 9.54,3 1.67,3 2.55,3 3.49,17 59.89
20210521,81.5,313 0.03,2507 5.81,254 2.48,70 1.12,58 1.31,52 1.64,16 0.69,29 1.65,41 3.68,24 4.38,27 9.53,3 1.67,3 2.55,3 3.49,17 59.89
20210514,,310 0.03,2466 5.74,257 2.52,72 1.15,55 1.24,51 1.59,17 0.73,28 1.59,41 3.65,25 4.55,27 9.53,3 1.67,3 2.56,3 3.49,17 59.89
20210507,84.800,308 0.03,2467 5.72,250 2.46,74 1.19,50 1.12,51 1.60,20 0.87,27 1.54,42 3.81,24 4.45,27 9.52,3 1.67,3 2.56,3 3.49,17 59.89, -3,000
