20220318,10416 1.55,6463 8.21,989 4.76,272 2.08,206 2.32,143 2.19,67 1.46,56 1.56,80 3.35,31 2.46,15 2.65,3 0.89,1 0.38,2 1.00,11 65.06
20220311,10420 1.55,6503 8.25,988 4.76,276 2.11,205 2.31,144 2.20,64 1.39,60 1.68,80 3.43,28 2.27,15 2.64,3 0.89,1 0.38,2 1.00,11 65.06
20220304,10437 1.55,6534 8.29,988 4.77,274 2.10,202 2.28,147 2.24,64 1.40,58 1.61,79 3.31,30 2.41,15 2.65,3 0.89,1 0.38,2 0.99,11 65.06
20220225,10436 1.55,6540 8.29,1000 4.82,275 2.11,204 2.31,149 2.27,63 1.37,59 1.64,76 3.21,30 2.40,15 2.63,3 0.89,1 0.38,2 0.99,11 65.06
20220218,10454 1.55,6534 8.28,1006 4.84,269 2.06,210 2.37,149 2.28,64 1.39,57 1.58,75 3.15,32 2.60,14 2.50,3 0.89,1 0.38,2 1.00,11 65.06
20220211,10463 1.56,6556 8.30,997 4.80,270 2.06,217 2.44,144 2.21,68 1.47,55 1.53,75 3.19,31 2.51,14 2.50,3 0.89,1 0.38,2 1.00,11 65.07
20220128,10467 1.56,6598 8.34,1010 4.86,269 2.05,214 2.41,145 2.22,68 1.47,61 1.69,73 3.11,29 2.32,15 2.56,3 0.89,1 0.38,2 0.99,11 65.07
20220122,10468 1.56,6647 8.43,1009 4.86,263 2.00,212 2.39,146 2.24,65 1.40,60 1.67,74 3.10,31 2.50,14 2.43,3 0.89,2 0.86,1 0.50,11 65.10
20220114,10479 1.56,6689 8.48,1013 4.89,257 1.96,219 2.46,145 2.22,65 1.41,55 1.53,76 3.17,31 2.51,14 2.40,3 0.89,2 0.85,1 0.50,11 65.10
20220107,10485 1.56,6723 8.50,1021 4.92,251 1.91,217 2.44,142 2.18,68 1.46,56 1.56,76 3.17,30 2.47,14 2.41,3 0.89,2 0.86,1 0.50,11 65.10
20211230,10505 1.56,6601 8.32,1003 4.83,244 1.86,205 2.31,143 2.19,64 1.39,55 1.54,82 3.45,34 2.79,12 2.04,4 1.17,1 0.38,2 0.98,11 65.10
